Device/Package xc7a200tfbg676 4/30/2012 11:17:41                                                                                                   
                                                                                                         
Pin   Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
AC2   IO_L11N_T1_SRCC_33            1                  33    NA            NA                  HR        7A100T
AA3   IO_L12P_T1_MRCC_33            1                  33    NA            NA                  HR        7A100T
AA2   IO_L12N_T1_MRCC_33            1                  33    NA            NA                  HR        7A100T
AA4   IO_L13P_T2_MRCC_33            2                  33    NA            NA                  HR        7A100T
AB4   IO_L13N_T2_MRCC_33            2                  33    NA            NA                  HR        7A100T
AC3   IO_L14P_T2_SRCC_33            2                  33    NA            NA                  HR        7A100T
AD3   IO_L14N_T2_SRCC_33            2                  33    NA            NA                  HR        7A100T
AD5   IO_L15P_T2_DQS_33             2                  33    NA            NA                  HR        7A100T
AE5   IO_L15N_T2_DQS_33             2                  33    NA            NA                  HR        7A100T
AE3   IO_L16P_T2_33                 2                  33    NA            NA                  HR        7A100T
AF3   IO_L16N_T2_33                 2                  33    NA            NA                  HR        7A100T
AF5   IO_L17P_T2_33                 2                  33    NA            NA                  HR        7A100T
AF4   IO_L17N_T2_33                 2                  33    NA            NA                  HR        7A100T
AC4   IO_L18P_T2_33                 2                  33    NA            NA                  HR        7A100T
AD4   IO_L18N_T2_33                 2                  33    NA            NA                  HR        7A100T
Y7    IO_L19P_T3_33                 3                  33    NA            NA                  HR        7A100T
AA7   IO_L19N_T3_VREF_33            3                  33    NA            NA                  HR        7A100T
Y6    IO_L20P_T3_33                 3                  33    NA            NA                  HR        7A100T
Y5    IO_L20N_T3_33                 3                  33    NA            NA                  HR        7A100T
V8    IO_L21P_T3_DQS_33             3                  33    NA            NA                  HR        7A100T
W8    IO_L21N_T3_DQS_33             3                  33    NA            NA                  HR        7A100T
AA5   IO_L22P_T3_33                 3                  33    NA            NA                  HR        7A100T
AB5   IO_L22N_T3_33                 3                  33    NA            NA                  HR        7A100T
Y8    IO_L23P_T3_33                 3                  33    NA            NA                  HR        7A100T
AA8   IO_L23N_T3_33                 3                  33    NA            NA                  HR        7A100T
AB6   IO_L24P_T3_33                 3                  33    NA            NA                  HR        7A100T
AC6   IO_L24N_T3_33                 3                  33    NA            NA                  HR        7A100T
V9    IO_25_33                      NA                 33    NA            NA                  HR        7A100T
N8    IO_0_34                       NA                 34    NA            NA                  HR        NA
